Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Colombia,8,9,9,10,11,11,12,12,12,11,11,11,11,10,11,11,11,11,11,10,10,12,12,13,13,14,14,15,15
Mexico,69,74,74,77,84,77,78,81,85,84,88,87,83,83,86,88,88,91,90,87,88,90,89,88,85,84,86,84,78
Venezuela,18,17,19,19,19,20,20,22,22,20,22,25,25,23,25,28,27,28,31,32,35,32,37,34,34,29,26,23,20
Asia,593,620,655,691,718,771,796,830,813,855,877,878,903,929,992,992,1014,1044,1025,1039,1073,1112,1155,1187,1202,1252,1285,1333,1375
China,142,152,160,175,175,189,196,212,217,227,241,245,258,281,329,333,353,367,375,382,401,419,438,461,476,507,523,549,582
India,56,58,61,63,68,76,81,85,89,97,108,106,110,114,117,119,129,139,142,144,147,154,164,166,173,191,201,212,218
Indonesia,30,32,33,37,37,43,45,48,47,51,51,53,53,54,60,60,57,59,60,61,61,71,75,75,75,70,68,72,76
Japan,217,218,222,221,228,233,233,231,226,232,228,222,226,223,220,216,208,206,188,183,183,185,188,185,175,171,167,164,159
Malaysia,12,13,14,15,15,18,19,20,18,19,19,20,21,20,21,21,22,25,24,26,24,27,25,28,29,27,28,28,28
South Korea,48,58,69,76,81,88,91,97,79,87,90,89,90,90,88,88,87,89,84,87,89,89,92,92,93,98,102,104,103
Taiwan,25,26,26,28,29,32,32,32,33,35,36,38,38,40,41,41,46,43,41,41,42,38,38,39,39,40,40,40,40
Thailand,17,18,20,23,27,30,34,33,30,31,31,30,34,37,41,41,40,40,38,40,42,44,46,50,50,50,51,53,54
Pacific,36,36,36,36,38,39,40,41,41,42,43,43,43,46,47,47,48,48,50,48,50,52,53,55,55,54,56,56,58
Australia,31,31,30,31,32,33,34,34,35,35,36,36,36,38,39,39,40,40,41,41,42,44,45,47,47,45,46,47,49
New Zealand,4,4,4,4,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7
Africa,82,83,86,85,83,88,91,96,96,100,100,104,107,109,116,121,122,128,138,144,151,150,160,172,177,179,182,183,180
Algeria,8,8,8,8,8,7,7,7,7,8,8,8,9,10,10,10,11,12,13,14,14,15,16,17,18,18,18,18,18
Egypt,21,20,20,20,18,19,20,22,24,24,23,22,23,22,27,27,28,29,31,33,34,34,36,36,38,39,40,38,35
Nigeria,7,9,10,9,7,8,9,10,9,9,10,12,12,12,12,12,10,9,11,9,12,11,11,17,19,17,18,20,20
South Africa,15,15,15,14,15,16,16,17,17,17,16,17,17,18,19,20,20,24,24,23,23,25,25,26,25,26,26,26,26
Middle-East,133,134,148,154,163,163,172,174,178,186,192,201,209,211,223,239,252,257,272,274,270,276,294,303,305,298,292,294,290
Iran,46,48,53,53,57,56,59,60,59,63,65,68,67,67,70,75,84,86,86,87,77,76,80,86,84,77,73,74,72
Kuwait,4,2,5,4,5,6,6,6,7,9,8,9,10,12,12,13,14,13,16,17,16,15,15,17,15,16,15,15,15
Saudi Arabia,34,36,39,41,42,41,45,45,48,50,52,55,60,63,68,70,75,78,84,81,84,89,96,99,107,115,113,112,108
United Arab Emirates,6,7,7,7,7,7,7,7,7,7,7,8,8,9,9,10,10,11,11,13,13,14,14,16,16,15,17,16,17
